latitude,longitude,value
31.5455,126.1702,1
32.2954,127.8868,1
33.0258,125.2232,1
33.6413,124.1977,1
33.0569,128.0726,1
33.3429,123.3468,1
33.5927,127.1657,1
32.4141,123.1654,1
32.5798,124.5635,1
33.0153,128.1357,1
33.2191,127.507,1
32.705,123.974,1
33.3511,126.9721,1
31.9196,127.9292,1
32.0968,126.6604,1
32.4622,123.4643,1
33.652,126.0113,1
33.1938,125.8715,1
33.1456,126.5547,1
31.5091,126.1523,1
32.4663,123.7598,1
31.7249,128.0302,1
31.8501,126.4252,1
31.5953,123.3454,1
33.2728,125.2656,1
32.1621,123.5729,1
32.2725,124.4071,1
32.5985,123.3765,1
31.9729,125.5675,1
33.586,128.0522,1
32.2256,124.9315,1
32.2964,125.1401,1
33.4638,124.6172,1
33.6461,125.1413,1
31.4902,126.0071,1
32.3884,126.7056,1
32.4637,124.4469,5
31.6885,125.886,1
32.9939,127.8183,1
33.2185,128.2399,1
31.403,123.7708,1
31.5522,125.3524,1
32.6227,127.1103,1
32.2988,125.165,5
31.6558,125.9694,1
33.3807,128.2216,1
32.9431,127.9799,5
32.647,127.2324,1
33.5941,124.5201,1
31.81,126.6169,1
33.315,123.8069,1
33.3091,127.3351,1
32.7506,127.2448,1
31.3719,128.1523,1
31.8007,126.5112,1
33.3636,123.6086,1
32.7802,125.1896,1
33.5859,125.9557,1
31.6864,128.0694,1
32.7738,124.4093,1
33.0714,125.1886,1
31.621,123.6671,1
33.1136,123.4561,1
32.138,125.7829,1
31.9115,128.2103,1
33.0131,124.7484,1
33.3761,123.6763,1
33.6119,127.7244,1
33.204,126.7656,1
33.6965,124.5225,1
31.528,124.602,5
32.9779,126.7776,1
33.0433,127.6047,1
32.402,127.1914,1
32.6403,127.3643,1
33.1385,126.9525,1
31.5999,126.0451,1
32.1395,128.1673,1
33.3648,128.1114,1
31.4991,125.4518,1
31.7169,125.2902,1
31.9497,125.5491,1
32.543,126.101,1
33.6186,123.5052,1
33.45,126.7814,1
32.0246,126.0104,1
32.4048,127.5209,5
33.6916,126.1662,1
32.9955,126.3771,1
31.3579,123.9605,1
32.4897,125.3272,1
32.4027,128.1528,1
32.7482,127.1132,1
33.6626,126.6339,1
31.9338,128.1286,1
31.876,125.0032,1
33.0075,127.2282,1
32.8322,127.4787,1
33.6121,125.6478,1
32.9163,127.499,1
35.6193,125.0174,5
34.2247,124.4536,1
33.9074,123.8459,1
34.4434,125.5074,1
36.7787,124.0537,2
34.4336,124.9677,1
34.4094,125.01,1
37.669,124.6677,3
35.8599,126.1536,1
36.0922,125.2852,3
37.2163,124.5059,1
35.0586,123.5969,1
35.8481,123.3023,1
36.2007,125.1544,1
34.1162,123.5353,1
34.3629,124.4978,2
36.7845,125.9899,4
37.1648,125.3768,1
35.352,125.486,1
35.0206,124.8431,1
36.1578,125.8455,1
36.7218,125.7782,1
36.8268,125.2528,1
36.7195,126.1249,1
36.4855,123.5021,1
34.7668,124.4138,1
34.819,123.1963,5
35.7157,125.4624,1
36.1868,123.693,1
35.9808,125.5927,2
36.026,123.6785,1
35.1157,123.8949,1
34.9056,125.1207,1
35.6931,123.2669,3
36.3942,124.5706,1
35.7913,125.8583,3
35.9691,125.1567,1
35.7875,125.0166,1
37.5533,124.5727,1
37.0221,125.5355,1
37.7427,124.2533,1
33.9476,125.5487,5
37.3822,125.4197,1
34.4588,124.9649,3
34.568,123.5249,3
34.039,124.8956,2
36.6023,124.1518,1
37.7302,125.2475,1
35.0505,123.4794,1
35.7139,124.2247,4
35.7742,125.734,3
34.6373,123.1967,5
34.8697,124.6435,1
37.5617,126.1854,2
35.3576,125.751,2
37.3835,123.1571,1
37.6004,124.8796,1
36.148,125.0706,2
36.346,123.6557,2
34.2494,125.1439,1
35.3032,123.2392,5
35.8708,124.3406,2
37.267,124.7511,1
35.7593,124.9253,1
35.1643,125.2808,5
